Phone timestamp;HR [bpm]
2022-05-09T22:04:03.729;90
2022-05-09T22:04:04.680;89
2022-05-09T22:04:05.680;88
2022-05-09T22:04:06.680;88
2022-05-09T22:04:07.691;88
2022-05-09T22:04:08.679;88
2022-05-09T22:04:09.681;88
2022-05-09T22:04:10.681;87
2022-05-09T22:04:11.677;86
2022-05-09T22:04:12.729;86
2022-05-09T22:04:13.682;85
2022-05-09T22:04:14.680;84
2022-05-09T22:04:15.681;84
2022-05-09T22:04:16.679;85
2022-05-09T22:04:17.680;85
2022-05-09T22:04:18.707;85
2022-05-09T22:04:19.681;86
2022-05-09T22:04:20.731;87
2022-05-09T22:04:21.680;89
2022-05-09T22:04:22.679;90
2022-05-09T22:04:23.689;90
2022-05-09T22:04:24.683;90
2022-05-09T22:04:25.681;90
2022-05-09T22:04:26.681;89
2022-05-09T22:04:27.681;89
2022-05-09T22:04:28.680;89
2022-05-09T22:04:29.707;88
2022-05-09T22:04:30.681;89
2022-05-09T22:04:31.679;91
2022-05-09T22:04:32.679;92
2022-05-09T22:04:33.681;93
2022-05-09T22:04:34.679;92
2022-05-09T22:04:35.681;90
2022-05-09T22:04:36.765;89
2022-05-09T22:04:37.681;88
2022-05-09T22:04:38.681;88
2022-05-09T22:04:39.680;88
2022-05-09T22:04:40.681;87
2022-05-09T22:04:41.681;87
2022-05-09T22:04:42.681;87
2022-05-09T22:04:43.682;87
2022-05-09T22:04:44.680;87
2022-05-09T22:04:45.679;86
2022-05-09T22:04:46.680;85
2022-05-09T22:04:47.681;85
2022-05-09T22:04:48.680;85
2022-05-09T22:04:49.680;83
2022-05-09T22:04:50.682;82
2022-05-09T22:04:51.684;82
2022-05-09T22:04:52.681;81
2022-05-09T22:04:53.731;81
2022-05-09T22:04:54.680;82
2022-05-09T22:04:55.680;83
2022-05-09T22:04:56.707;84
2022-05-09T22:04:57.681;87
2022-05-09T22:04:58.682;88
2022-05-09T22:04:59.705;90
2022-05-09T22:05:00.682;90
2022-05-09T22:05:01.731;89
2022-05-09T22:05:02.684;88
2022-05-09T22:05:03.681;88
2022-05-09T22:05:04.681;87
2022-05-09T22:05:05.681;86
2022-05-09T22:05:06.682;86
2022-05-09T22:05:07.781;86
2022-05-09T22:05:08.714;86
2022-05-09T22:05:09.732;86
2022-05-09T22:05:10.681;85
2022-05-09T22:05:11.679;84
2022-05-09T22:05:12.679;84
2022-05-09T22:05:13.684;84
2022-05-09T22:05:14.681;83
2022-05-09T22:05:15.681;83
2022-05-09T22:05:16.681;84
2022-05-09T22:05:17.680;85
2022-05-09T22:05:18.680;86
2022-05-09T22:05:19.681;87
2022-05-09T22:05:20.681;88
2022-05-09T22:05:21.680;89
2022-05-09T22:05:22.683;89
2022-05-09T22:05:23.680;88
2022-05-09T22:05:24.684;87
2022-05-09T22:05:25.681;87
2022-05-09T22:05:26.731;87
2022-05-09T22:05:27.683;88
2022-05-09T22:05:28.680;88
2022-05-09T22:05:29.707;89
2022-05-09T22:05:30.681;89
2022-05-09T22:05:31.714;89
2022-05-09T22:05:32.681;88
2022-05-09T22:05:33.681;88
2022-05-09T22:05:34.681;88
2022-05-09T22:05:35.684;88
2022-05-09T22:05:36.683;89
