Phone timestamp;RR-interval [ms]
2022-05-09T22:33:40.662;534
2022-05-09T22:33:41.196;528
2022-05-09T22:33:41.724;531
2022-05-09T22:33:42.255;527
2022-05-09T22:33:42.782;436
2022-05-09T22:33:43.218;594
2022-05-09T22:33:43.812;529
2022-05-09T22:33:44.341;528
2022-05-09T22:33:44.869;534
2022-05-09T22:33:45.403;536
2022-05-09T22:33:45.939;529
2022-05-09T22:33:46.468;437
2022-05-09T22:33:46.905;619
2022-05-09T22:33:47.524;544
2022-05-09T22:33:48.068;543
2022-05-09T22:33:48.611;539
2022-05-09T22:33:49.150;531
2022-05-09T22:33:49.681;441
2022-05-09T22:33:50.122;610
2022-05-09T22:33:50.732;538
2022-05-09T22:33:51.270;533
2022-05-09T22:33:51.803;531
2022-05-09T22:33:52.334;524
2022-05-09T22:33:52.858;521
2022-05-09T22:33:53.379;527
2022-05-09T22:33:53.906;532
2022-05-09T22:33:54.438;536
2022-05-09T22:33:54.974;535
2022-05-09T22:33:55.509;442
2022-05-09T22:33:55.951;614
2022-05-09T22:33:56.565;542
2022-05-09T22:33:57.107;540
2022-05-09T22:33:57.647;538
2022-05-09T22:33:58.185;536
2022-05-09T22:33:58.721;527
2022-05-09T22:33:59.248;533
2022-05-09T22:33:59.781;533
2022-05-09T22:34:00.314;536
2022-05-09T22:34:00.850;532
2022-05-09T22:34:01.382;436
2022-05-09T22:34:01.818;611
2022-05-09T22:34:02.429;540
2022-05-09T22:34:02.969;539
2022-05-09T22:34:03.508;542
2022-05-09T22:34:04.050;536
2022-05-09T22:34:04.586;531
2022-05-09T22:34:05.117;535
2022-05-09T22:34:05.652;537
2022-05-09T22:34:06.189;542
2022-05-09T22:34:06.731;538
2022-05-09T22:34:07.269;533
2022-05-09T22:34:07.802;535
2022-05-09T22:34:08.337;541
2022-05-09T22:34:08.878;543
2022-05-09T22:34:09.421;540
2022-05-09T22:34:09.961;534
2022-05-09T22:34:10.495;534
2022-05-09T22:34:11.029;536
2022-05-09T22:34:11.565;539
2022-05-09T22:34:12.104;533
2022-05-09T22:34:12.637;530
2022-05-09T22:34:13.167;532
2022-05-09T22:34:13.699;535
2022-05-09T22:34:14.234;537
2022-05-09T22:34:14.771;535
2022-05-09T22:34:15.306;530
2022-05-09T22:34:15.836;529
2022-05-09T22:34:16.365;532
2022-05-09T22:34:16.897;533
2022-05-09T22:34:17.430;531
2022-05-09T22:34:17.961;527
2022-05-09T22:34:18.488;521
2022-05-09T22:34:19.009;525
2022-05-09T22:34:19.534;526
2022-05-09T22:34:20.060;528
2022-05-09T22:34:20.588;525
2022-05-09T22:34:21.113;521
2022-05-09T22:34:21.634;528
2022-05-09T22:34:22.162;533
2022-05-09T22:34:22.695;534
2022-05-09T22:34:23.229;530
2022-05-09T22:34:23.759;525
2022-05-09T22:34:24.284;528
2022-05-09T22:34:24.812;532
2022-05-09T22:34:25.344;534
2022-05-09T22:34:25.878;531
2022-05-09T22:34:26.409;525
2022-05-09T22:34:26.934;526
2022-05-09T22:34:27.460;530
2022-05-09T22:34:27.990;533
2022-05-09T22:34:28.523;536
2022-05-09T22:34:29.059;532
2022-05-09T22:34:29.591;529
2022-05-09T22:34:30.120;530
2022-05-09T22:34:30.650;536
2022-05-09T22:34:31.186;539
2022-05-09T22:34:31.725;543
2022-05-09T22:34:32.268;538
2022-05-09T22:34:32.806;536
2022-05-09T22:34:33.342;540
2022-05-09T22:34:33.882;543
2022-05-09T22:34:34.425;544
2022-05-09T22:34:34.969;546
2022-05-09T22:34:35.515;539
2022-05-09T22:34:36.054;535
2022-05-09T22:34:36.589;536
2022-05-09T22:34:37.125;537
2022-05-09T22:34:37.662;541
2022-05-09T22:34:38.203;540
2022-05-09T22:34:38.743;538
2022-05-09T22:34:39.281;534
2022-05-09T22:34:39.815;535
2022-05-09T22:34:40.350;542
2022-05-09T22:34:40.892;548
2022-05-09T22:34:41.440;556
2022-05-09T22:34:41.996;557
2022-05-09T22:34:42.553;552
2022-05-09T22:34:43.105;546
2022-05-09T22:34:43.651;548
2022-05-09T22:34:44.199;550
2022-05-09T22:34:44.749;552
2022-05-09T22:34:45.301;547
2022-05-09T22:34:45.848;541
2022-05-09T22:34:46.389;537
2022-05-09T22:34:46.926;540
2022-05-09T22:34:47.466;544
2022-05-09T22:34:48.010;545
2022-05-09T22:34:48.555;542
2022-05-09T22:34:49.097;539
2022-05-09T22:34:49.636;534
2022-05-09T22:34:50.170;536
2022-05-09T22:34:50.706;542
2022-05-09T22:34:51.248;551
2022-05-09T22:34:51.799;552
2022-05-09T22:34:52.351;543
2022-05-09T22:34:52.894;542
2022-05-09T22:34:53.436;547
2022-05-09T22:34:53.983;549
2022-05-09T22:34:54.532;555
2022-05-09T22:34:55.087;552
2022-05-09T22:34:55.639;545
2022-05-09T22:34:56.184;543
2022-05-09T22:34:56.727;548
2022-05-09T22:34:57.275;552
2022-05-09T22:34:57.827;551
2022-05-09T22:34:58.378;548
2022-05-09T22:34:58.926;550
2022-05-09T22:34:59.476;559
2022-05-09T22:35:00.035;560
2022-05-09T22:35:00.595;549
2022-05-09T22:35:01.144;543
2022-05-09T22:35:01.687;543
2022-05-09T22:35:02.230;545
2022-05-09T22:35:02.775;545
2022-05-09T22:35:03.320;538
2022-05-09T22:35:03.858;531
2022-05-09T22:35:04.389;534
2022-05-09T22:35:04.923;535
