Phone timestamp;HR [bpm]
2022-05-09T22:33:40.662;112
2022-05-09T22:33:41.662;113
2022-05-09T22:33:42.662;113
2022-05-09T22:33:43.661;113
2022-05-09T22:33:44.661;113
2022-05-09T22:33:45.664;113
2022-05-09T22:33:46.665;112
2022-05-09T22:33:47.689;112
2022-05-09T22:33:48.662;112
2022-05-09T22:33:49.712;111
2022-05-09T22:33:50.662;111
2022-05-09T22:33:51.713;112
2022-05-09T22:33:52.661;113
2022-05-09T22:33:53.663;113
2022-05-09T22:33:54.661;113
2022-05-09T22:33:55.662;113
2022-05-09T22:33:56.713;112
2022-05-09T22:33:57.663;112
2022-05-09T22:33:58.664;112
2022-05-09T22:33:59.661;112
2022-05-09T22:34:00.663;112
2022-05-09T22:34:01.664;112
2022-05-09T22:34:02.666;112
2022-05-09T22:34:03.663;112
2022-05-09T22:34:04.662;112
2022-05-09T22:34:05.696;112
2022-05-09T22:34:06.712;112
2022-05-09T22:34:07.661;112
2022-05-09T22:34:08.714;112
2022-05-09T22:34:09.662;111
2022-05-09T22:34:10.665;112
2022-05-09T22:34:11.663;112
2022-05-09T22:34:12.662;112
2022-05-09T22:34:13.666;112
2022-05-09T22:34:14.663;112
2022-05-09T22:34:15.662;112
2022-05-09T22:34:16.663;113
2022-05-09T22:34:17.663;113
2022-05-09T22:34:18.730;113
2022-05-09T22:34:19.689;114
2022-05-09T22:34:20.663;114
2022-05-09T22:34:21.662;114
2022-05-09T22:34:22.713;113
2022-05-09T22:34:23.712;113
2022-05-09T22:34:24.663;113
2022-05-09T22:34:25.662;113
2022-05-09T22:34:26.664;113
2022-05-09T22:34:27.663;113
2022-05-09T22:34:28.662;113
2022-05-09T22:34:29.688;113
2022-05-09T22:34:30.662;113
2022-05-09T22:34:31.662;112
2022-05-09T22:34:32.663;112
2022-05-09T22:34:33.666;112
2022-05-09T22:34:34.661;111
2022-05-09T22:34:35.665;111
2022-05-09T22:34:36.664;111
2022-05-09T22:34:37.661;111
2022-05-09T22:34:38.664;111
2022-05-09T22:34:39.712;111
2022-05-09T22:34:40.665;112
2022-05-09T22:34:41.664;111
2022-05-09T22:34:42.664;110
2022-05-09T22:34:43.662;110
2022-05-09T22:34:44.662;109
2022-05-09T22:34:45.661;109
2022-05-09T22:34:46.662;110
2022-05-09T22:34:47.664;110
2022-05-09T22:34:48.663;110
