Phone timestamp;HR [bpm]
2022-05-09T16:05:41.802;0
2022-05-09T16:05:42.777;0
2022-05-09T16:05:43.803;0
2022-05-09T16:05:44.785;0
2022-05-09T16:05:45.798;0
2022-05-09T16:05:46.775;0
2022-05-09T16:05:47.799;0
2022-05-09T16:05:48.969;0
2022-05-09T16:05:49.845;0
2022-05-09T16:05:50.773;0
2022-05-09T16:05:51.795;0
2022-05-09T16:05:52.805;0
2022-05-09T16:05:53.792;0
2022-05-09T16:05:54.811;0
2022-05-09T16:05:55.841;0
2022-05-09T16:05:56.817;0
2022-05-09T16:05:57.790;0
2022-05-09T16:05:58.767;0
2022-05-09T16:05:59.791;0
2022-05-09T16:06:00.765;0
2022-05-09T16:06:01.840;0
2022-05-09T16:06:02.813;0
2022-05-09T16:06:03.812;0
2022-05-09T16:06:04.811;98
2022-05-09T16:06:05.786;94
2022-05-09T16:06:06.811;93
2022-05-09T16:06:07.784;91
2022-05-09T16:06:08.841;91
2022-05-09T16:06:09.787;91
2022-05-09T16:06:10.906;91
2022-05-09T16:06:11.783;91
2022-05-09T16:06:12.807;91
2022-05-09T16:06:13.780;91
2022-05-09T16:06:14.843;92
2022-05-09T16:06:15.780;93
2022-05-09T16:06:16.806;94
2022-05-09T16:06:17.826;94
2022-05-09T16:06:18.806;92
2022-05-09T16:06:19.819;90
2022-05-09T16:06:20.851;88
2022-05-09T16:06:21.777;87
2022-05-09T16:06:22.861;86
2022-05-09T16:06:23.823;84
2022-05-09T16:06:24.806;84
2022-05-09T16:06:25.775;83
2022-05-09T16:06:26.797;82
2022-05-09T16:06:27.776;81
2022-05-09T16:06:28.797;81
2022-05-09T16:06:29.823;81
2022-05-09T16:06:30.794;80
2022-05-09T16:06:31.815;80
2022-05-09T16:06:32.798;80
2022-05-09T16:06:33.772;80
2022-05-09T16:06:34.827;80
2022-05-09T16:06:35.769;80
2022-05-09T16:06:36.795;79
2022-05-09T16:06:37.767;79
2022-05-09T16:06:38.792;79
2022-05-09T16:06:39.768;79
2022-05-09T16:06:40.788;79
2022-05-09T16:06:41.803;79
2022-05-09T16:06:42.789;79
2022-05-09T16:06:43.863;79
2022-05-09T16:06:44.788;79
2022-05-09T16:06:45.854;78
2022-05-09T16:06:46.784;78
2022-05-09T16:06:47.812;78
2022-05-09T16:06:48.786;78
2022-05-09T16:06:49.811;78
2022-05-09T16:06:50.784;77
2022-05-09T16:06:51.807;77
2022-05-09T16:06:52.822;77
2022-05-09T16:06:53.807;77
2022-05-09T16:06:54.831;77
2022-05-09T16:06:55.805;77
2022-05-09T16:06:56.777;76
2022-05-09T16:06:57.801;76
2022-05-09T16:06:58.779;76
2022-05-09T16:06:59.804;76
2022-05-09T16:07:00.778;76
2022-05-09T16:07:01.801;76
2022-05-09T16:07:02.825;76
2022-05-09T16:07:03.798;76
2022-05-09T16:07:04.775;76
2022-05-09T16:07:05.798;76
2022-05-09T16:07:06.775;76
2022-05-09T16:07:07.801;76
2022-05-09T16:07:08.808;77
2022-05-09T16:07:09.796;77
2022-05-09T16:07:10.822;77
2022-05-09T16:07:11.844;77
2022-05-09T16:07:12.877;77
2022-05-09T16:07:13.845;77
2022-05-09T16:07:14.771;77
2022-05-09T16:07:15.794;78
2022-05-09T16:07:16.768;78
2022-05-09T16:07:17.833;78
2022-05-09T16:07:18.813;78
2022-05-09T16:07:19.934;79
2022-05-09T16:07:20.765;79
2022-05-09T16:07:21.788;78
2022-05-09T16:07:22.814;78
2022-05-09T16:07:23.789;78
2022-05-09T16:07:24.801;78
2022-05-09T16:07:25.789;78
2022-05-09T16:07:26.810;78
2022-05-09T16:07:27.787;78
2022-05-09T16:07:28.810;78
2022-05-09T16:07:29.783;77
2022-05-09T16:07:30.807;77
2022-05-09T16:07:31.783;77
2022-05-09T16:07:32.807;77
2022-05-09T16:07:33.784;77
2022-05-09T16:07:34.807;77
2022-05-09T16:07:35.920;77
2022-05-09T16:07:36.804;77
2022-05-09T16:07:37.780;77
2022-05-09T16:07:38.804;77
2022-05-09T16:07:39.779;77
2022-05-09T16:07:40.801;77
2022-05-09T16:07:41.776;77
2022-05-09T16:07:42.801;77
2022-05-09T16:07:43.775;77
2022-05-09T16:07:44.799;77
2022-05-09T16:07:45.772;77
2022-05-09T16:07:46.881;76
2022-05-09T16:07:47.774;76
2022-05-09T16:07:48.798;76
2022-05-09T16:07:49.769;76
2022-05-09T16:07:50.844;76
2022-05-09T16:07:51.805;77
2022-05-09T16:07:52.795;77
2022-05-09T16:07:53.768;77
2022-05-09T16:07:54.828;76
2022-05-09T16:07:55.767;76
2022-05-09T16:07:56.791;76
2022-05-09T16:07:57.804;76
2022-05-09T16:07:58.789;75
2022-05-09T16:07:59.767;75
2022-05-09T16:08:00.823;76
2022-05-09T16:08:01.845;76
2022-05-09T16:08:02.787;76
2022-05-09T16:08:03.811;76
2022-05-09T16:08:04.786;77
2022-05-09T16:08:05.812;77
2022-05-09T16:08:06.784;77
2022-05-09T16:08:07.925;77
2022-05-09T16:08:08.836;77
2022-05-09T16:08:09.809;77
2022-05-09T16:08:10.831;76
2022-05-09T16:08:11.855;76
2022-05-09T16:08:12.781;76
2022-05-09T16:08:13.855;76
2022-05-09T16:08:14.780;76
2022-05-09T16:08:15.805;76
2022-05-09T16:08:16.779;76
2022-05-09T16:08:17.804;76
2022-05-09T16:08:18.776;76
2022-05-09T16:08:19.803;76
2022-05-09T16:08:20.776;77
2022-05-09T16:08:21.798;77
2022-05-09T16:08:22.775;77
2022-05-09T16:08:23.848;77
2022-05-09T16:08:24.822;77
2022-05-09T16:08:25.797;77
2022-05-09T16:08:26.837;77
2022-05-09T16:08:27.798;77
2022-05-09T16:08:28.772;77
2022-05-09T16:08:29.795;78
2022-05-09T16:08:30.772;78
2022-05-09T16:08:31.794;79
2022-05-09T16:08:32.771;79
2022-05-09T16:08:33.791;79
