Phone timestamp;RR-interval [ms]
2022-05-09T22:47:43.662;536
2022-05-09T22:47:44.198;543
2022-05-09T22:47:44.741;540
2022-05-09T22:47:45.281;532
2022-05-09T22:47:45.813;542
2022-05-09T22:47:46.355;544
2022-05-09T22:47:46.899;557
2022-05-09T22:47:47.456;564
2022-05-09T22:47:48.020;564
2022-05-09T22:47:48.584;550
2022-05-09T22:47:49.134;545
2022-05-09T22:47:49.679;549
2022-05-09T22:47:50.228;553
2022-05-09T22:47:50.781;560
2022-05-09T22:47:51.341;563
2022-05-09T22:47:51.904;561
2022-05-09T22:47:52.465;560
2022-05-09T22:47:53.025;560
2022-05-09T22:47:53.585;562
2022-05-09T22:47:54.147;560
2022-05-09T22:47:54.707;553
2022-05-09T22:47:55.260;538
2022-05-09T22:47:55.798;539
2022-05-09T22:47:56.337;547
2022-05-09T22:47:56.884;554
2022-05-09T22:47:57.438;583
2022-05-09T22:47:58.021;607
2022-05-09T22:47:58.628;606
2022-05-09T22:47:59.234;579
2022-05-09T22:47:59.813;571
2022-05-09T22:48:00.384;576
2022-05-09T22:48:00.960;575
2022-05-09T22:48:01.535;577
2022-05-09T22:48:02.112;576
2022-05-09T22:48:02.688;570
2022-05-09T22:48:03.258;562
2022-05-09T22:48:03.820;543
2022-05-09T22:48:04.363;540
2022-05-09T22:48:04.903;542
2022-05-09T22:48:05.445;542
2022-05-09T22:48:05.987;549
2022-05-09T22:48:06.536;556
2022-05-09T22:48:07.092;559
2022-05-09T22:48:07.651;559
2022-05-09T22:48:08.210;545
2022-05-09T22:48:08.755;547
2022-05-09T22:48:09.302;550
2022-05-09T22:48:09.852;560
2022-05-09T22:48:10.412;567
2022-05-09T22:48:10.979;571
2022-05-09T22:48:11.550;564
2022-05-09T22:48:12.114;552
2022-05-09T22:48:12.666;559
2022-05-09T22:48:13.225;563
2022-05-09T22:48:13.788;564
2022-05-09T22:48:14.352;560
2022-05-09T22:48:14.912;556
2022-05-09T22:48:15.468;546
2022-05-09T22:48:16.014;538
2022-05-09T22:48:16.552;543
2022-05-09T22:48:17.095;544
2022-05-09T22:48:17.639;548
2022-05-09T22:48:18.187;553
2022-05-09T22:48:18.740;547
2022-05-09T22:48:19.287;547
2022-05-09T22:48:19.834;553
2022-05-09T22:48:20.387;557
2022-05-09T22:48:20.944;558
2022-05-09T22:48:21.502;552
2022-05-09T22:48:22.054;532
2022-05-09T22:48:22.586;532
2022-05-09T22:48:23.118;533
2022-05-09T22:48:23.651;542
2022-05-09T22:48:24.193;589
2022-05-09T22:48:24.782;583
2022-05-09T22:48:25.365;558
2022-05-09T22:48:25.923;546
2022-05-09T22:48:26.469;538
2022-05-09T22:48:27.007;529
2022-05-09T22:48:27.536;534
2022-05-09T22:48:28.070;537
2022-05-09T22:48:28.607;541
2022-05-09T22:48:29.148;541
2022-05-09T22:48:29.689;536
2022-05-09T22:48:30.225;535
2022-05-09T22:48:30.760;540
2022-05-09T22:48:31.300;549
2022-05-09T22:48:31.849;562
2022-05-09T22:48:32.411;578
2022-05-09T22:48:32.989;574
2022-05-09T22:48:33.563;559
2022-05-09T22:48:34.122;552
2022-05-09T22:48:34.674;558
2022-05-09T22:48:35.232;555
2022-05-09T22:48:35.787;562
2022-05-09T22:48:36.349;565
2022-05-09T22:48:36.914;563
2022-05-09T22:48:37.477;551
2022-05-09T22:48:38.028;542
2022-05-09T22:48:38.570;545
2022-05-09T22:48:39.115;548
2022-05-09T22:48:39.663;560
2022-05-09T22:48:40.223;574
2022-05-09T22:48:40.797;594
2022-05-09T22:48:41.391;594
2022-05-09T22:48:41.985;574
2022-05-09T22:48:42.559;563
2022-05-09T22:48:43.122;564
2022-05-09T22:48:43.686;570
2022-05-09T22:48:44.256;575
2022-05-09T22:48:44.831;581
2022-05-09T22:48:45.412;577
2022-05-09T22:48:45.989;570
2022-05-09T22:48:46.559;551
2022-05-09T22:48:47.110;543
2022-05-09T22:48:47.653;546
2022-05-09T22:48:48.199;542
2022-05-09T22:48:48.741;544
2022-05-09T22:48:49.285;552
2022-05-09T22:48:49.837;557
2022-05-09T22:48:50.394;545
2022-05-09T22:48:50.939;542
2022-05-09T22:48:51.481;554
2022-05-09T22:48:52.035;564
2022-05-09T22:48:52.599;590
2022-05-09T22:48:53.189;597
2022-05-09T22:48:53.786;593
2022-05-09T22:48:54.379;570
2022-05-09T22:48:54.949;564
2022-05-09T22:48:55.513;568
2022-05-09T22:48:56.081;566
2022-05-09T22:48:56.647;563
