Phone timestamp;HR [bpm]
2022-05-09T22:47:43.662;113
2022-05-09T22:47:44.661;113
2022-05-09T22:47:45.680;112
2022-05-09T22:47:46.663;112
2022-05-09T22:47:47.662;110
2022-05-09T22:47:48.674;109
2022-05-09T22:47:49.663;109
2022-05-09T22:47:50.666;109
2022-05-09T22:47:51.663;109
2022-05-09T22:47:52.713;108
2022-05-09T22:47:53.663;108
2022-05-09T22:47:54.705;108
2022-05-09T22:47:55.663;108
2022-05-09T22:47:56.664;109
2022-05-09T22:47:57.663;108
2022-05-09T22:47:58.713;105
2022-05-09T22:47:59.696;104
2022-05-09T22:48:00.716;104
2022-05-09T22:48:01.664;104
2022-05-09T22:48:02.663;104
2022-05-09T22:48:03.663;105
2022-05-09T22:48:04.662;107
2022-05-09T22:48:05.666;108
2022-05-09T22:48:06.664;108
2022-05-09T22:48:07.661;108
2022-05-09T22:48:08.667;108
2022-05-09T22:48:09.662;109
2022-05-09T22:48:10.666;108
2022-05-09T22:48:11.663;107
2022-05-09T22:48:12.686;107
2022-05-09T22:48:13.666;107
2022-05-09T22:48:14.664;107
2022-05-09T22:48:15.689;108
2022-05-09T22:48:16.664;109
2022-05-09T22:48:17.662;109
2022-05-09T22:48:18.663;109
2022-05-09T22:48:19.664;109
2022-05-09T22:48:20.712;109
2022-05-09T22:48:21.666;109
2022-05-09T22:48:22.666;110
2022-05-09T22:48:23.664;111
2022-05-09T22:48:24.664;110
2022-05-09T22:48:25.763;108
2022-05-09T22:48:26.661;108
2022-05-09T22:48:27.663;110
2022-05-09T22:48:28.664;111
2022-05-09T22:48:29.662;111
2022-05-09T22:48:30.662;111
2022-05-09T22:48:31.665;111
2022-05-09T22:48:32.665;109
2022-05-09T22:48:33.664;108
2022-05-09T22:48:34.664;108
2022-05-09T22:48:35.663;108
2022-05-09T22:48:36.662;108
2022-05-09T22:48:37.662;107
2022-05-09T22:48:38.664;108
2022-05-09T22:48:39.663;109
2022-05-09T22:48:40.661;108
2022-05-09T22:48:41.663;106
2022-05-09T22:48:42.713;105
2022-05-09T22:48:43.666;106
2022-05-09T22:48:44.662;105
2022-05-09T22:48:45.666;105
2022-05-09T22:48:46.664;105
2022-05-09T22:48:47.662;107
2022-05-09T22:48:48.689;108
2022-05-09T22:48:49.664;108
2022-05-09T22:48:50.662;109
2022-05-09T22:48:51.664;109
2022-05-09T22:48:52.664;108
2022-05-09T22:48:53.664;106
2022-05-09T22:48:54.663;105
2022-05-09T22:48:55.662;105
2022-05-09T22:48:56.664;106
2022-05-09T22:48:57.664;106
2022-05-09T22:48:58.714;107
2022-05-09T22:48:59.690;108
2022-05-09T22:49:00.663;109
2022-05-09T22:49:01.662;107
2022-05-09T22:49:02.662;106
2022-05-09T22:49:03.662;105
2022-05-09T22:49:04.716;104
2022-05-09T22:49:05.766;103
2022-05-09T22:49:06.664;104
2022-05-09T22:49:07.663;105
2022-05-09T22:49:08.665;106
2022-05-09T22:49:09.664;107
2022-05-09T22:49:10.693;108
2022-05-09T22:49:11.664;108
2022-05-09T22:49:12.662;107
2022-05-09T22:49:13.661;106
2022-05-09T22:49:14.713;106
2022-05-09T22:49:15.712;105
2022-05-09T22:49:16.664;105
2022-05-09T22:49:17.664;107
2022-05-09T22:49:18.664;107
2022-05-09T22:49:19.664;108
2022-05-09T22:49:20.664;108
2022-05-09T22:49:21.663;109
2022-05-09T22:49:22.664;108
2022-05-09T22:49:23.664;107
2022-05-09T22:49:24.662;107
2022-05-09T22:49:25.662;107
2022-05-09T22:49:26.661;107
2022-05-09T22:49:27.667;108
2022-05-09T22:49:28.664;108
2022-05-09T22:49:29.664;109
2022-05-09T22:49:30.663;109
2022-05-09T22:49:31.716;109
2022-05-09T22:49:32.666;109
2022-05-09T22:49:33.663;108
2022-05-09T22:49:34.664;108
2022-05-09T22:49:35.662;108
