Phone timestamp;RR-interval [ms]
2022-05-09T22:04:03.729;680
2022-05-09T22:04:04.409;694
2022-05-09T22:04:05.103;702
2022-05-09T22:04:05.805;709
2022-05-09T22:04:06.514;683
2022-05-09T22:04:07.197;668
2022-05-09T22:04:07.865;680
2022-05-09T22:04:08.545;697
2022-05-09T22:04:09.242;710
2022-05-09T22:04:09.952;715
2022-05-09T22:04:10.667;715
2022-05-09T22:04:11.382;704
2022-05-09T22:04:12.086;728
2022-05-09T22:04:12.814;757
2022-05-09T22:04:13.571;754
2022-05-09T22:04:14.325;719
2022-05-09T22:04:15.044;695
2022-05-09T22:04:15.739;694
2022-05-09T22:04:16.433;695
2022-05-09T22:04:17.128;705
2022-05-09T22:04:17.833;698
2022-05-09T22:04:18.531;682
2022-05-09T22:04:19.213;669
2022-05-09T22:04:19.882;646
2022-05-09T22:04:20.528;640
2022-05-09T22:04:21.168;626
2022-05-09T22:04:21.794;632
2022-05-09T22:04:22.426;641
2022-05-09T22:04:23.067;655
2022-05-09T22:04:23.722;671
2022-05-09T22:04:24.393;686
2022-05-09T22:04:25.079;688
2022-05-09T22:04:25.767;674
2022-05-09T22:04:26.441;675
2022-05-09T22:04:27.116;685
2022-05-09T22:04:27.801;690
2022-05-09T22:04:28.491;701
2022-05-09T22:04:29.192;691
2022-05-09T22:04:29.883;666
2022-05-09T22:04:30.549;645
2022-05-09T22:04:31.194;624
2022-05-09T22:04:31.818;608
2022-05-09T22:04:32.426;622
2022-05-09T22:04:33.048;635
2022-05-09T22:04:33.683;642
2022-05-09T22:04:34.325;672
2022-05-09T22:04:34.997;705
2022-05-09T22:04:35.702;735
2022-05-09T22:04:36.437;718
2022-05-09T22:04:37.155;701
2022-05-09T22:04:37.856;680
2022-05-09T22:04:38.536;678
2022-05-09T22:04:39.214;696
2022-05-09T22:04:39.910;711
2022-05-09T22:04:40.621;717
2022-05-09T22:04:41.338;713
2022-05-09T22:04:42.051;689
2022-05-09T22:04:42.740;676
2022-05-09T22:04:43.416;685
2022-05-09T22:04:44.101;700
2022-05-09T22:04:44.801;731
2022-05-09T22:04:45.532;745
2022-05-09T22:04:46.277;729
2022-05-09T22:04:47.006;712
2022-05-09T22:04:47.718;726
2022-05-09T22:04:48.444;800
2022-05-09T22:04:49.244;821
2022-05-09T22:04:50.065;778
2022-05-09T22:04:50.843;749
2022-05-09T22:04:51.592;760
2022-05-09T22:04:52.352;750
2022-05-09T22:04:53.102;745
2022-05-09T22:04:53.847;711
2022-05-09T22:04:54.558;683
2022-05-09T22:04:55.241;671
2022-05-09T22:04:55.912;674
2022-05-09T22:04:56.586;654
2022-05-09T22:04:57.240;631
2022-05-09T22:04:57.871;626
2022-05-09T22:04:58.497;622
2022-05-09T22:04:59.119;628
2022-05-09T22:04:59.747;645
2022-05-09T22:05:00.392;676
2022-05-09T22:05:01.068;718
2022-05-09T22:05:01.786;726
2022-05-09T22:05:02.512;690
2022-05-09T22:05:03.202;688
2022-05-09T22:05:03.890;701
2022-05-09T22:05:04.591;729
2022-05-09T22:05:05.320;726
2022-05-09T22:05:06.046;721
2022-05-09T22:05:06.767;694
2022-05-09T22:05:07.461;688
2022-05-09T22:05:08.149;688
2022-05-09T22:05:08.837;714
2022-05-09T22:05:09.551;735
2022-05-09T22:05:10.286;769
2022-05-09T22:05:11.055;729
2022-05-09T22:05:11.784;717
2022-05-09T22:05:12.501;717
2022-05-09T22:05:13.218;732
2022-05-09T22:05:13.950;739
2022-05-09T22:05:14.689;726
2022-05-09T22:05:15.415;708
2022-05-09T22:05:16.123;684
2022-05-09T22:05:16.807;670
2022-05-09T22:05:17.477;680
